sample_id	index	frac_genome	type
SA604-ALL	0.0906515580736544	16413	DNA
SA604-ALL	0.091123701605288	16414	DNA
SA604-ALL	0.0915958451369216	16414	DNA
SA604-ALL	0.0920679886685552	16414	DNA
SA604-ALL	0.0925401322001889	16414	DNA
SA604-ALL	0.0930122757318225	16415	DNA
SA604-ALL	0.0934844192634561	16416	DNA
SA604-ALL	0.0939565627950897	16417	DNA
SA604-ALL	0.0944287063267233	16417	DNA
SA604-ALL	0.0949008498583569	16418	DNA
SA604-ALL	0.0953729933899906	16419	DNA
SA604-ALL	0.0958451369216242	16419	DNA
SA604-ALL	0.0963172804532578	16419	DNA
SA604-ALL	0.0967894239848914	16421	DNA
SA604-ALL	0.097261567516525	16421	DNA
SA604-ALL	0.0977337110481586	16423	DNA
SA604-ALL	0.0982058545797923	16424	DNA
SA604-ALL	0.0986779981114259	16424	DNA
SA604-ALL	0.0991501416430595	16426	DNA
SA604-ALL	0.0996222851746931	16427	DNA
SA604-ALL	0.100094428706327	16429	DNA
SA604-ALL	0.10056657223796	16429	DNA
SA604-ALL	0.101038715769594	16429	DNA
SA604-ALL	0.101510859301228	16429	DNA
SA604-ALL	0.101983002832861	16429	DNA
SA604-ALL	0.102455146364495	16430	DNA
SA604-ALL	0.102927289896128	16433	DNA
SA604-ALL	0.103399433427762	16435	DNA
SA604-ALL	0.103871576959396	16437	DNA
SA604-ALL	0.104343720491029	16438	DNA
SA604-ALL	0.104815864022663	16438	DNA
SA604-ALL	0.105288007554297	16440	DNA
SA604-ALL	0.10576015108593	16441	DNA
SA604-ALL	0.106232294617564	16441	DNA
SA604-ALL	0.106704438149197	16444	DNA
SA604-ALL	0.107176581680831	16445	DNA
SA604-ALL	0.107648725212465	16447	DNA
SA604-ALL	0.108120868744098	16450	DNA
SA604-ALL	0.108593012275732	16450	DNA
SA604-ALL	0.109065155807365	16450	DNA
SA604-ALL	0.109537299338999	16451	DNA
SA604-ALL	0.110009442870633	16451	DNA
SA604-ALL	0.110481586402266	16452	DNA
SA604-ALL	0.1109537299339	16453	DNA
SA604-ALL	0.111425873465534	16453	DNA
SA604-ALL	0.111898016997167	16454	DNA
SA604-ALL	0.112370160528801	16454	DNA
SA604-ALL	0.112842304060434	16454	DNA
SA604-ALL	0.113314447592068	16457	DNA
SA604-ALL	0.113786591123702	16457	DNA
SA604-ALL	0.114258734655335	16459	DNA
SA604-ALL	0.114730878186969	16461	DNA
SA604-ALL	0.115203021718602	16461	DNA
SA604-ALL	0.115675165250236	16463	DNA
SA604-ALL	0.11614730878187	16463	DNA
SA604-ALL	0.116619452313503	16464	DNA
SA604-ALL	0.117091595845137	16464	DNA
SA604-ALL	0.117563739376771	16465	DNA
SA604-ALL	0.118035882908404	16467	DNA
SA604-ALL	0.118508026440038	16467	DNA
SA604-ALL	0.118980169971671	16467	DNA
SA604-ALL	0.119452313503305	16468	DNA
SA604-ALL	0.119924457034939	16468	DNA
SA604-ALL	0.120396600566572	16469	DNA
SA604-ALL	0.120868744098206	16469	DNA
SA604-ALL	0.121340887629839	16469	DNA
SA604-ALL	0.121813031161473	16469	DNA
SA604-ALL	0.122285174693107	16470	DNA
SA604-ALL	0.12275731822474	16470	DNA
SA604-ALL	0.123229461756374	16471	DNA
SA604-ALL	0.123701605288008	16471	DNA
SA604-ALL	0.124173748819641	16472	DNA
SA604-ALL	0.124645892351275	16472	DNA
SA604-ALL	0.125118035882908	16473	DNA
SA604-ALL	0.125590179414542	16473	DNA
SA604-ALL	0.126062322946176	16474	DNA
SA604-ALL	0.126534466477809	16474	DNA
SA604-ALL	0.127006610009443	16474	DNA
SA604-ALL	0.127478753541076	16474	DNA
SA604-ALL	0.12795089707271	16475	DNA
SA604-ALL	0.128423040604344	16475	DNA
SA604-ALL	0.128895184135977	16476	DNA
SA604-ALL	0.129367327667611	16476	DNA
SA604-ALL	0.129839471199245	16476	DNA
SA604-ALL	0.130311614730878	16477	DNA
SA604-ALL	0.130783758262512	16478	DNA
SA604-ALL	0.131255901794145	16478	DNA
SA604-ALL	0.131728045325779	16478	DNA
SA604-ALL	0.132200188857413	16478	DNA
SA604-ALL	0.132672332389046	16481	DNA
SA604-ALL	0.13314447592068	16481	DNA
SA604-ALL	0.133616619452314	16481	DNA
SA604-ALL	0.134088762983947	16482	DNA
SA604-ALL	0.134560906515581	16482	DNA
SA604-ALL	0.135033050047214	16483	DNA
SA604-ALL	0.135505193578848	16484	DNA
SA604-ALL	0.135977337110482	16484	DNA
SA604-ALL	0.136449480642115	16485	DNA
SA604-ALL	0.136921624173749	16485	DNA
SA604-ALL	0.137393767705382	16485	DNA
SA604-ALL	0.137865911237016	16485	DNA
SA604-ALL	0.13833805476865	16485	DNA
SA604-ALL	0.138810198300283	16486	DNA
SA604-ALL	0.139282341831917	16486	DNA
SA604-ALL	0.139754485363551	16486	DNA
SA604-ALL	0.140226628895184	16486	DNA
SA604-ALL	0.140698772426818	16487	DNA
SA604-ALL	0.141170915958451	16487	DNA
SA604-ALL	0.141643059490085	16487	DNA
SA604-ALL	0.142115203021719	16487	DNA
SA604-ALL	0.142587346553352	16487	DNA
SA604-ALL	0.143059490084986	16487	DNA
SA604-ALL	0.143531633616619	16488	DNA
SA604-ALL	0.144003777148253	16488	DNA
SA604-ALL	0.144475920679887	16488	DNA
SA604-ALL	0.14494806421152	16488	DNA
SA604-ALL	0.145420207743154	16490	DNA
SA604-ALL	0.145892351274788	16490	DNA
SA604-ALL	0.146364494806421	16490	DNA
SA604-ALL	0.146836638338055	16490	DNA
SA604-ALL	0.147308781869688	16490	DNA
SA604-ALL	0.147780925401322	16490	DNA
SA604-ALL	0.148253068932956	16493	DNA
SA604-ALL	0.148725212464589	16493	DNA
SA604-ALL	0.149197355996223	16494	DNA
SA604-ALL	0.149669499527856	16494	DNA
SA604-ALL	0.15014164305949	16495	DNA
SA604-ALL	0.150613786591124	16495	DNA
SA604-ALL	0.151085930122757	16495	DNA
SA604-ALL	0.151558073654391	16496	DNA
SA604-ALL	0.152030217186025	16496	DNA
SA604-ALL	0.152502360717658	16496	DNA
SA604-ALL	0.152974504249292	16496	DNA
SA604-ALL	0.153446647780925	16497	DNA
SA604-ALL	0.153918791312559	16497	DNA
SA604-ALL	0.154390934844193	16498	DNA
SA604-ALL	0.154863078375826	16498	DNA
SA604-ALL	0.15533522190746	16499	DNA
SA604-ALL	0.155807365439093	16499	DNA
SA604-ALL	0.156279508970727	16499	DNA
SA604-ALL	0.156751652502361	16500	DNA
SA604-ALL	0.157223796033994	16500	DNA
SA604-ALL	0.157695939565628	16501	DNA
