sample_id	frac_genome	tot_coverage	type
SA604	0.049046801466809	0.0154670570655178	DNA
SA604	0.0495122526932936	0.0156521813841704	DNA
SA604	0.049977761107544	0.0158405819035834	DNA
SA604	0.0504432695217945	0.0160291072441561	DNA
SA604	0.0509090066871084	0.0162179831004204	DNA
SA604	0.0513748868218371	0.0164072057147772	DNA
SA604	0.0518407669565657	0.0165968744749645	DNA
SA604	0.0523067328729432	0.0167865830264519	DNA
SA604	0.0527727273832036	0.0169766164094838	DNA
SA604	0.0532387790812299	0.0171678221594953	DNA
SA604	0.053704916560905	0.0173594737838007	DNA
SA604	0.0541710826344631	0.0175514391064548	DNA
SA604	0.05463733448967	0.0177437531167335	DNA
SA604	0.0551036435326427	0.0179362336132432	DNA
SA604	0.0555700097633813	0.0181287913087664	DNA
SA604	0.0560364331818858	0.0183218533916638	DNA
